OACI,CIAD,Nome,Municipio,UF,Tipo
SJJO,GO0078,João de Oliveira Bueno,MONTE ALEGRE DE GOIÁS,GO,Privado
SJPI,MS0179,Porto Bonito,ITAQUIRAÍ,MS,Privado
SWQC,GO0143,Fazenda São Francisco,RIO VERDE,GO,Privado
SDOX,PA0034,Fazenda Água Fria,XINGUARA,PA,Privado
SNFG,PA0089,Pista Fogoió,ITAITUBA,PA,Privado
SJRO,SP0214,Fazenda Santa Elisa,AURIFLAMA,SP,Privado
SIPD,SP0537,Vitória Hotel Residence,CAMPINAS,SP,Privado
SJWF,RJ0118,Mima,SÃO JOÃO DA BARRA,RJ,Privado
SJWR,RJ0119,Heligalo,ANGRA DOS REIS,RJ,Privado
SNWY,ES0022,Rodoviária,VITÓRIA,ES,Privado
SJXT,RJ0121,Iguassú,ANGRA DOS REIS,RJ,Privado
SILE,PE0030,Usina Trapiche S/A,SIRINHAÉM,PE,Privado
SDPK,SP0402,Panco I,SÃO PAULO,SP,Privado
SJXN,MG0247,Niquini,BETIM,MG,Privado
SIIQ,SP0505,Palácio Boa Vista,CAMPOS DO JORDÃO,SP,Privado
SIYB,SP0576,Comercial Aquidabã,CAMPINAS,SP,Privado
SNAQ,SP0689,Elisa,JARINU,SP,Privado
SWFT,MA0073,Office Tower,SÃO LUÍS,MA,Privado
SJWS,SP0675,Praia de Olaria,SÃO SEBASTIÃO,SP,Privado
SIQB,RJ0088,Vila Velha,ANGRA DOS REIS,RJ,Privado
SIPN,MS0115,Fazenda Progresso,PORTO MURTINHO,MS,Privado
SWZS,MT0450,Fazenda Nova Larga,CÁCERES,MT,Privado
SWNO,PI0071,São Miguel do Tapuio,SÃO MIGUEL DO TAPUIO,PI,Privado
SIEA,SP0175,Fazenda Ibiporã,GUARARAPES,SP,Privado
SDCI,MG0213,Quick Fazenda Cachoeira,ESMERALDAS,MG,Privado
SSUF,SP0884,Rede D'Or São Luiz Anália Franco,SÃO PAULO,SP,Privado
SSNC,MG0270,Minas de Conceição,ITABIRA,MG,Privado
SNIA,SP0706,Arujá,ARUJÁ,SP,Privado
SIGQ,RJ0079,Aeroclube CSN - Companhia Siderúrgica Nacional,VOLTA REDONDA,RJ,Privado
SSLC,PR0140,Cooperativa Lar,MEDIANEIRA,PR,Privado
SSAW,SP0743,West Gate,BARUERI,SP,Privado
SWTV,RJ0183,On Grace,RIO DE JANEIRO,RJ,Privado
SDSJ,PR0039,Executivo,CASCAVEL,PR,Privado
SNKZ,MT0610,Fazenda São Marcos,VILA BELA DA SANTÍSSIMA TRINDADE,MT,Privado
SIDA,SP0478,Edifício Dakota,SÃO PAULO,SP,Privado
SSOO,MS0316,Fazenda Pontal da Cachoeira,CAMAPUÃ,MS,Privado
SDFR,CE0028,Riomar Fortaleza,FORTALEZA,CE,Privado
SJDK,SP0609,Oeste Plaza Shopping-MC,ANDRADINA,SP,Privado
SNNH,MG0461,Haskell,VIÇOSA,MG,Privado
SDUH,SP0429,Villa Otto Baumgart,CAMPOS DO JORDÃO,SP,Privado
SDWS,SP0441,Helicentro ALLTA,BARUERI,SP,Privado
SWPO,MG0320,Pequi Metais,PEQUI,MG,Privado
SIWJ,SP0568,Parque Ana Costa,SANTOS,SP,Privado
SWDX,RJ0154,Edifício Torre Almirante,RIO DE JANEIRO,RJ,Privado
SNLR,SP0713,Itautec,SÃO PAULO,SP,Privado
SDZJ,MG0223,Fly Green,JAÍBA,MG,Privado
SSRP,MT0614,Fazenda Agromaster,MARCELÂNDIA,MT,Privado
SD7T,RS0183,BASE DE OPERAÇÕES AÉREAS DA PRF,PORTO ALEGRE,RS,Privado
SDQV,SP0411,Pavão,GUARULHOS,SP,Privado
SIXD,RS0071,Fazenda da Paz,SANT'ANA DO LIVRAMENTO,RS,Privado
SDKD,SP0370,Condomínio América Business Park,SÃO PAULO,SP,Privado
SJCT,RS0127,3 Tentos CETEC,SANTA BÁRBARA DO SUL,RS,Privado
SDTW,MT0064,Fazenda Miragem,SAPEZAL,MT,Privado
SIYP,AL0021,Empresarial Delman,MACEIÓ,AL,Privado
SDDF,MA0054,Difusora,SÃO LUÍS,MA,Privado
SSYT,GO0173,Business Style,GOIÂNIA,GO,Privado
SJSG,AL0017,Usina Serra Grande,SÃO JOSÉ DA LAJE,AL,Privado
SNUR,CE0055,Iguatemi Empresarial,FORTALEZA,CE,Privado
SWCX,SP0866,Icon Realty Cajamar,CAJAMAR,SP,Privado
SJQA,PR0154,Teimoso,CAMPO LARGO,PR,Privado
SWZB,SP0844,Fronteira,ILHABELA,SP,Privado
SICA,DF0048,Hospital Anchieta,BRASÍLIA,DF,Privado
SSYJ,CE0062,BOISA,MARANGUAPE,CE,Privado
SWOU,SP0822,Rede Globo 2,SÃO PAULO,SP,Privado
SDYN,SP0166,Fazenda Esmeralda,TACIBA,SP,Privado
SSTJ,SC0039,Walter Ewaldo Siegel,TROMBUDO CENTRAL,SC,Privado
SNMB,MS0217,Fazenda Santa Maria,CORUMBÁ,MS,Privado
SJNO,BA0117,Fazenda Bela Nova,ITAJU DO COLÔNIA,BA,Privado
SSSL,PR0089,Fazenda Santa Luzia,ALTO PARAÍSO,PR,Privado
SJPX,MT0208,Fazenda Cidade Verde,POXORÉU,MT,Privado
SJMT,RR0078,São Miguel Cachoeirinha,PACARAIMA,RR,Privado
SWRT,GO0145,Fazenda Santa Rita,SANTA RITA DO ARAGUAIA,GO,Privado
SIPK,MT0116,SESC Pantanal,POCONÉ,MT,Privado
SBOR,GO0290,Fazenda AgroTamareira,MUNDO NOVO,GO,Privado
SJCP,GO0069,Fazenda São Roberto,PARAÚNA,GO,Privado
SWJP,AM0046,Vila Bittencourt,JAPURÁ,AM,Privado
SIBV,MS0067,Fazenda Bela Vista,NOVA ALVORADA DO SUL,MS,Privado
SNBF,MT0241,Fazenda Vale Verde,CANARANA,MT,Privado
SIAY,MT0674,Fazenda Santa Fé do Guaporé,COMODORO,MT,Privado
SDCJ,MT0032,Fazenda São Domingos,ALTO ARAGUAIA,MT,Privado
SJOX,MT0203,Fazenda Alegria,SÃO JOSÉ DO XINGU,MT,Privado
SISZ,TO0021,Fazenda São José,COUTO MAGALHÃES,TO,Privado
SSTU,MS0334,Fazenda Tujuri,ELDORADO,MS,Privado
SIUH,CE0016,Fazenda Flores,TAMBORIL,CE,Privado
SWOG,MT0372,Fazenda Itaipu,SÃO JOSÉ DO RIO CLARO,MT,Privado
SSVX,PA0133,Valeu Boi Leilões,RIO MARIA,PA,Privado
SIFC,PE0013,Coroa do Avião,IGARASSU,PE,Privado
SJVB,SP0218,Bugio,PEDRINHAS PAULISTA,SP,Privado
SJCF,TO0060,SÍTIO FLYER,PALMAS,TO,Privado
SIXF,MS0140,Fazenda Lageado,TRÊS LAGOAS,MS,Privado
SIKR,MS0508,Fazenda Barra Mansa,AQUIDAUANA,MS,Privado
SWER,MS0370,Fazenda Entre Rios,PORTO MURTINHO,MS,Privado
SSXC,MS0523,Fazenda Laguna Porã,PORTO MURTINHO,MS,Privado
SWRS,MT0390,Fazenda Santa Mônica,RONDONÓPOLIS,MT,Privado
SISW,MT0131,Fazenda Mato Grosso,CAMPOS DE JÚLIO,MT,Privado
SWHQ,MT0348,Fazenda Santa Cruz,VILA BELA DA SANTÍSSIMA TRINDADE,MT,Privado
SIDY,PR0043,Fazenda Yanduy,LUNARDELLI,PR,Privado
SIPA,SP0192,Aeroclube São José do Rio Pardo,SÃO JOSÉ DO RIO PARDO,SP,Privado
SIYK,GO0063,Fazenda Sorriso Metálico,URUTAÍ,GO,Privado
SSHF,BA0159,Fazenda Gerais,FORMOSA DO RIO PRETO,BA,Privado
SSOD,MS0313,Fazenda Pouso Alegre,MIRANDA,MS,Privado
SIFE,MS0080,Fazenda Estiva,MARACAJU,MS,Privado
SWQL,GO0144,Fazenda Três Companheiros,DOVERLÂNDIA,GO,Privado
SSVE,MS0340,Fazenda Cerro Verde,TACURU,MS,Privado
SWEO,RR0109,Itapará Sport Fishing,RORAINÓPOLIS,RR,Privado
SJRH,MT0214,Fazenda Galheiro,CAMPO VERDE,MT,Privado
SJPS,MT0206,Fazenda Promissão,UNIÃO DO SUL,MT,Privado
SDNK,MT0046,Fazenda Vitória,PRIMAVERA DO LESTE,MT,Privado
SNGP,MG0147,Fazenda Santa Maria ,TUPACIGUARA,MG,Privado
SSPP,GO0109,FAZENDA ESTREITO E PONTE DE PEDRAS,MONTIVIDIU,GO,Privado
SIUY,MT0139,Jair Feliciano de Deus,MIRASSOL D'OESTE,MT,Privado
SIUC,MG0111,Fazenda Campo Grande,JANUÁRIA,MG,Privado
SINT,GO0052,Fazenda Santa Adélia,SANTA ISABEL,GO,Privado
SJKN,RR0035,Caracanã,UIRAMUTÃ,RR,Privado
SNWI,MT0273,Fazenda São João do Guaporé,NOVA LACERDA,MT,Privado
SIFO,SP0176,Fazenda Santo Antônio Oriçanga,ESTIVA GERBI,SP,Privado
SDXI,MS0060,Cel Porto,CAMAPUÃ,MS,Privado
SNVA,PA0108,Fazenda Bela Vista,CUMARU DO NORTE,PA,Privado
SWRA,MT0625,Fazenda Bela Vista,NOVA MONTE VERDE,MT,Privado
SJMR,MS0177,Maragogipe,IGUATEMI,MS,Privado
SSHC,MS0540,Fazenda Alvemi,PARANAÍBA,MS,Privado
SSNS,BA0269,Fazenda Pajuçara,CORRENTINA,BA,Privado
SSPO,MS0320,APLIC Aviação agrícola II,ITAPORÃ,MS,Privado
SIMV,MG0104,Fazenda Mata Velha,UBERABA,MG,Privado
SWXW,BA0250,Fazenda Montani Bahia,SÃO DESIDÉRIO,BA,Privado
SNEJ,PA0087,J.C. Peralta,ITAITUBA,PA,Privado
SWMH,GO0137,Fazenda Bom Pastor,ITAPIRAPUÃ,GO,Privado
SJIN,MT0183,Fazenda Lagoa Baia da Saudade,COCALINHO,MT,Privado
SBTV,BA0068,Terravista,PORTO SEGURO,BA,Privado
SIHP,SP0179,Fazenda Esperança,ITAPEVA,SP,Privado
SSFC,RS0095,Safra,DOM PEDRITO,RS,Privado
SNSP,PI0078,Fazenda Tropical,BAIXA GRANDE DO RIBEIRO,PI,Privado
SIRS,MG0107,Fazenda São Sebastião,CAMPO FLORIDO,MG,Privado
SDNA,MG0085,Fazenda Vale Verde,COMENDADOR GOMES,MG,Privado
SJZC,PE0018,Destilaria São Luiz,MARAIAL,PE,Privado
SWJR,MS0417,Fazenda Santa Rita,AQUIDAUANA,MS,Privado
SSUD,PA0257,Fazenda Serra Dourada,ITAITUBA,PA,Privado
SJCN,GO0187,Fazenda Jacuba,MINEIROS,GO,Privado
SWQX,MS0393,Fazenda Cachoeira,ÁGUA CLARA,MS,Privado
SDLZ,MT0042,Campo Verde,CAMPO VERDE,MT,Privado
SSQL,MG0187,Fazenda La Poveda,FELIXLÂNDIA,MG,Privado
SSXF,MS0347,Fátima do Sul,FÁTIMA DO SUL,MS,Privado
SNIS,MA0039,Fazenda Rio Largo,CAXIAS,MA,Privado
SIKK,MG0102,Calciolândia,ARCOS,MG,Privado
SSYI,BA0171,Fazenda Sesmarias,ITAETÉ,BA,Privado
SDVS,SP0155,Fazenda Vassoural,PONTAL,SP,Privado
SDDA,MS0026,Fazenda Santa Alaydes,CORUMBÁ,MS,Privado
SNUA,PR0068,Fazenda Paulista,SANTA TEREZINHA DE ITAIPU,PR,Privado
SNFW,MS0206,Fazenda Girua,RIO VERDE DE MATO GROSSO,MS,Privado
SIUS,BA0098,Fazenda Santana,FORMOSA DO RIO PRETO,BA,Privado
SIUU,MT0137,Fazenda Santa Eulália,POCONÉ,MT,Privado
SJWT,BA0126,Fazenda Tucumã,CORRENTINA,BA,Privado
SSMK,RS0097,El Dorado,ELDORADO DO SUL,RS,Privado
SSIT,MT0292,Rancho Toca do Lobo,TANGARÁ DA SERRA,MT,Privado
SNAY,MT0240,Fazenda São João,PONTES E LACERDA,MT,Privado
SSBG,RS0091,Municipal de Bento Gonçalves,BENTO GONÇALVES,RS,Privado
SIJG,SP0184,Fazenda Jaguaretê,GUARARAPES,SP,Privado
SDZO,RR0030,Waromada,UIRAMUTÃ,RR,Privado
SSQU,MS0325,Fazenda Alegrete - Retiro Carandá,AQUIDAUANA,MS,Privado
SWJH,RS0122,Sementes Beé,TAPEJARA,RS,Privado
SSFQ,MA0046,Fazenda Canoa Quebrada,GRAJAÚ,MA,Privado
SWDB,MS0367,Fazenda Barro Preto,CORUMBÁ,MS,Privado
SDUM,MG0086,Usina Vale do Pontal,LIMEIRA DO OESTE,MG,Privado
SSFS,MT0576,Fazenda Sapezal,SAPEZAL,MT,Privado
SIDF,MT0087,Fazenda São José,CÁCERES,MT,Privado
SSSK,MA0047,FC,CODÓ,MA,Privado
SNVJ,MT0272,Fazenda Senhora Aparecida,TANGARÁ DA SERRA,MT,Privado
SIXO,MT0150,Fazenda Nossa Senhora de Fátima,COMODORO,MT,Privado
SBOJ,PA0165,Crepurizão,ITAITUBA,PA,Privado
SSED,MS0261,Fazenda Escalada,PEDRO GOMES,MS,Privado
SDIE,MG0444,Fazenda Lagoa,LAGOA GRANDE,MG,Privado
SSNF,SP0253,Fazenda Naisa,COLÔMBIA,SP,Privado
SDSD,RR0016,Samã I,PACARAIMA,RR,Privado
SDJ9,PA0308,Fazenda Triângulo,SAPUCAIA,PA,Privado
SIJK,BA0088,Fazenda Capuame,CAMAÇARI,BA,Privado
SSJJ,MS0290,Fazenda Brejon,CAMAPUÃ,MS,Privado
SDCU,RJ0013,Brigadeiro Francisco Pinto de Moura,CASIMIRO DE ABREU,RJ,Privado
SIMS,MS0101,Fazenda Califórnia,CAMAPUÃ,MS,Privado
SIYA,RO0064,CAT - Clube Aéreo Taquari,VILHENA,RO,Privado
SJBX,RN0007,Severino Lopes,SÃO JOSÉ DE MIPIBU,RN,Privado
SSJX,MS0295,São Bento,CORUMBÁ,MS,Privado
SIJL,RJ0022,São João da Barra,SÃO JOÃO DA BARRA,RJ,Privado
SIKM,MA0020,Fazenda Viamão,ARAME,MA,Privado
SJOJ,MA0030,Simasa,AÇAILÂNDIA,MA,Privado
SDGT,AM0028,Agrotec,MANACAPURU,AM,Privado
SSOZ,MS0319,Fazenda Onça Parda,ANTÔNIO JOÃO,MS,Privado
SWED,TO0043,Fazenda Eldorado,ARAPOEMA,TO,Privado
SSKQ,GO0107,Fazenda Santa Rosa,NOVA CRIXÁS,GO,Privado
SDXU,MT0489,Fazenda Relu,GAÚCHA DO NORTE,MT,Privado
SWAO,AM0043,Anamoim,SÃO GABRIEL DA CACHOEIRA,AM,Privado
SWFQ,TO0045,Fazenda Alvorada,PORTO NACIONAL,TO,Privado
SJKE,PA0072,Pista Aldeia Kedjêrêkrã,SÃO FÉLIX DO XINGU,PA,Privado
SSQG,PA0129,Fazenda Bom Gosto ,RONDON DO PARÁ,PA,Privado
SD7H,AC0005,Xapurí,XAPURI,AC,Privado
SWRW,MT0391,Fazenda Santa Alice,MIRASSOL D'OESTE,MT,Privado
SJVU,MG0135,Maicom Manica,UNAÍ,MG,Privado
SWDT,GO0118,Dezoito,NERÓPOLIS,GO,Privado
SDBX,PR0153,Eloy Biesuz,ITAPEJARA D'OESTE,PR,Privado
SJFM,MS0162,Fazenda Macuco,ELDORADO,MS,Privado
SWOL,MT0374,Fazenda Roncador,BARRA DO GARÇAS,MT,Privado
SSQO,MG0188,Fazenda Sequóia,ANGELÂNDIA,MG,Privado
SIVO,MT0142,Fazenda Malu,BOM JESUS DO ARAGUAIA,MT,Privado
SIMP,MS0489,Fazenda Triunfo,SONORA,MS,Privado
SWFL,MT0341,Fazenda Peixe Bravo,SANTA TEREZINHA,MT,Privado
SWJA,SC0040,FAZENDA AERO-AMIL,ITAJAÍ,SC,Privado
SSDW,MT0287,Fazenda Potrich,SORRISO,MT,Privado
SWPA,MT0377,Fazenda Futura,NOVA UBIRATÃ,MT,Privado
SSJL,RR0104,Fazenda Murará,BONFIM,RR,Privado
SIWX,MT0467,Fazenda Comil,SAPEZAL,MT,Privado
SSKF,AM0040,Fazenda Santa Fé,IRANDUBA,AM,Privado
SJHG,MT0176,Confresa,CONFRESA,MT,Privado
SNUW,MG0165,Fazenda Morada Bela,MORADA NOVA DE MINAS,MG,Privado
SNUF,SP0854,Alfa Airport Posse,SANTO ANTÔNIO DE POSSE,SP,Privado
SBQA,GO0271,Fazenda Floresta,NAZÁRIO,GO,Privado
SSBX,MS0253,Fazenda Lageado,COXIM,MS,Privado
SDVK,MS0057,Fazenda São Pedro,NOVA ANDRADINA,MS,Privado
SJDJ,MS0150,Fazenda São José,CAMAPUÃ,MS,Privado
SSZK,MG0195,Fazenda Água Santa,PERDIZES,MG,Privado
SWSH,MG0203,Fazenda Agropecuária Nossa Senhora Aparecida,JOÃO PINHEIRO,MG,Privado
SN4L,PR0208,Fazenda Santa Maria,CORNÉLIO PROCÓPIO,PR,Privado
SDLE,BA0038,Rio de Contas,RIO DE CONTAS,BA,Privado
SDIH,SP0108,Fazenda Irohy,BIRITIBA MIRIM,SP,Privado
SNHJ,SP0228,Usina de José Bonifácio,JOSÉ BONIFÁCIO,SP,Privado
SINK,SP0188,Fazenda Negrinha,PARAPUÃ,SP,Privado
SDJN,SP0114,Fazenda São Luiz,JARDINÓPOLIS,SP,Privado
SNAH,RJ0342,Fazenda Piloto Padrão KKS37/3,DUQUE DE CAXIAS,RJ,Privado
SIUW,BA0099,Comandante Milton Tosto,BONITO,BA,Privado
SDMW,GO0041,Fazenda Karajá,NOVA CRIXÁS,GO,Privado
SIEF,MS0075,Fazenda São José,CAMPO GRANDE,MS,Privado
SJTB,MT0219,Fazenda Buriti,CHAPADA DOS GUIMARÃES,MT,Privado
SJHK,MT0177,Fazenda Santa Maria do Porto da Capivara,BARÃO DE MELGAÇO,MT,Privado
SIEB,MS0072,Fazenda São Bento,SIDROLÂNDIA,MS,Privado
SIPG,MT0115,Fazenda Água Preta,COCALINHO,MT,Privado
SWMO,MT0367,Fazenda Mirandópolis,JUSCIMEIRA,MT,Privado
SWPT,BA0112,Ventura I,SÃO DESIDÉRIO,BA,Privado
SIWD,MA0026,Pequena Holanda I,ALTO PARNAÍBA,MA,Privado
SWMA,MS0384,Fazenda Córrego do Mato,FIGUEIRÃO,MS,Privado
SJCS,RO0016,Fazenda Santa Carmem,PORTO VELHO,RO,Privado
SDRT,RR0015,Ponto Geral,PACARAIMA,RR,Privado
SJPO,AL0005,Xingó,PIRANHAS,AL,Privado
SJOP,MT0201,Fazenda Panflora,ROSÁRIO OESTE,MT,Privado
SWIX,MT0356,JPO,SORRISO,MT,Privado
SSVR,MA0112,Adão Veríssimo,ITINGA DO MARANHÃO,MA,Privado
SJNG,RR0087,Xidea,ALTO ALEGRE,RR,Privado
SIRI,BA0096,Barra Grande,MARAÚ,BA,Privado
SJZE,MT0236,Fazenda Tapiraguaia,SANTA TEREZINHA,MT,Privado
SJWG,RS0079,Itagro,ALEGRETE,RS,Privado
SNAJ,PA0082,Fazenda Jaguaré,PARAGOMINAS,PA,Privado
SSDC,ES0027,Caxixe (ACA),VENDA NOVA DO IMIGRANTE,ES,Privado
SSWV,PA0134,Fazenda Vista Alegre,SÃO FÉLIX DO XINGU,PA,Privado
SWXO,PA0151,Fazenda Porto Seguro,SÃO FÉLIX DO XINGU,PA,Privado
SWOZ,MT0376,Fazenda Santo Antônio,CAMPO VERDE,MT,Privado
SSKN,SP0250,Takeo Noguchi,ARARAQUARA,SP,Privado
SJCR,BA0353,Fazenda Rebeca,BREJOLÂNDIA,BA,Privado
SSUA,MS0336,Fazenda Sonora Estância,SONORA,MS,Privado
SIXV,MS0143,Fazenda Rancho do Planalto,ALCINÓPOLIS,MS,Privado
SNXV,MG0170,Tranquilo Testolin,FELIXLÂNDIA,MG,Privado
SWBY,GO0117,Fazenda Bela Vista,INDIARA,GO,Privado
SJNX,GO0082,Cosmos Aviação Agrícola,CHAPADÃO DO CÉU,GO,Privado
SSVV,MS0421,Fazenda Garimpinho,FIGUEIRÃO,MS,Privado
SWBK,BA0256,Fazenda Paladino,SÃO DESIDÉRIO,BA,Privado
SWRH,BA0184,Fazenda Aurora,SÃO DESIDÉRIO,BA,Privado
SDJL,SP0113,Jales,JALES,SP,Privado
SJPR,PR0059,Asas de Balsa Nova,BALSA NOVA,PR,Privado
SDCZ,RJ0014,Fazenda Bom Jardim,MANGARATIBA,RJ,Privado
SJRI,PI0029,Condomínio Boa Esperança,RIBEIRO GONÇALVES,PI,Privado
SJVP,AM0035,Vila Pitinga,PRESIDENTE FIGUEIREDO,AM,Privado
SITA,MG0109,Municipal de Taiobeiras,TAIOBEIRAS,MG,Privado
SNNK,MS0481,Fazenda Santa Bernadette da Volta Grande,CAMPO GRANDE,MS,Privado
SSNN,MT0301,Fazenda Nova Fartura,PLANALTO DA SERRA,MT,Privado
SJYK,RR0094,Baixo Catrimani,CARACARAÍ,RR,Privado
SWUW,MT0414,Fazenda Okuhara,BARRA DO BUGRES,MT,Privado
SITH,BA0242,Fazenda Vitória,LUÍS EDUARDO MAGALHÃES,BA,Privado
SWEB,BA0356,Bahiagliding,FORMOSA DO RIO PRETO,BA,Privado
SDNJ,SP0128,Nascimento II,CAPÃO BONITO,SP,Privado
SBOD,TO0080,Fazenda Santa Cruz,ARAGUAÍNA,TO,Privado
SWVK,MT0417,Fazenda Vale do Rio Celeste,NOVA UBIRATÃ,MT,Privado
SWJD,GO0130,Fazenda Genipapo,SÃO DOMINGOS,GO,Privado
SJGJ,SP0209,Sítio São Jorge,ITAPEVA,SP,Privado
SWTL,RO0037,Fazenda Corumbiara,PARECIS,RO,Privado
SJJF,AM0034,Pousada do Rio Roosevelt,NOVO ARIPUANÃ,AM,Privado
SNMV,MS0218,Fazenda Flávia,ALCINÓPOLIS,MS,Privado
SSKI,RO0025,Fazenda Cristo Rei,PARECIS,RO,Privado
SJYH,PA0080,Fazenda Cachoeira Alta,SANTANA DO ARAGUAIA,PA,Privado
SNLM,AM0090,Pousada Pirá-Açu,APUÍ,AM,Privado
SJVL,SC0033,Vale Europeu,GUARAMIRIM,SC,Privado
SDBI,MS0024,Fazenda Piray,SETE QUEDAS,MS,Privado
SWGP,GO0124,Palmeiras de Goiás,PALMEIRAS DE GOIÁS,GO,Privado
SIGY,SP0178,Fazenda Guadiana,MARTINÓPOLIS,SP,Privado
SNQW,PA0102,Cururu,JACAREACANGA,PA,Privado
SSUY,MG0466,Fazenda Fundão,PARACATU,MG,Privado
SSBY,MS0254,Orlando Chesini Ometto,MIRANDA,MS,Privado
SNEG,MT0246,Fazenda Netolândia,TANGARÁ DA SERRA,MT,Privado
SSCU,PA0123,Fazenda Santa Marina,SANTA MARIA DAS BARREIRAS,PA,Privado
SDOB,SP0129,Fazenda São José O.B.,TAPIRATIBA,SP,Privado
SWBD,MS0364,Fazenda Mundo Novo,SONORA,MS,Privado
SNNX,RS0086,Cabanha Umbú,BARRA DO QUARAÍ,RS,Privado
SIQJ,MT0117,Morro do Chapéu II,CHAPADA DOS GUIMARÃES,MT,Privado
SDDC,MT0033,Fazenda São João do Guaporé,PONTES E LACERDA,MT,Privado
SIRF,PE0015,José Múcio Monteiro,RIO FORMOSO,PE,Privado
SNZE,RS0089,Fazenda Santa Zélia,ITAQUI,RS,Privado
SDAS,SP0079,Fazenda Santo Antônio,MIRANDÓPOLIS,SP,Privado
SDJX,TO0013,Fazenda Serra Dourada,PALMEIRÓPOLIS,TO,Privado
SNMD,PA0097,Mundico Coelho,ITAITUBA,PA,Privado
SDQF,GO0043,Fazenda Floresta,SANTO ANTÔNIO DA BARRA,GO,Privado
SDSE,SP0141,Sítio Santa Helena,GABRIEL MONTEIRO,SP,Privado
SBQT,MT0660,Fazenda Campo Formoso,TESOURO,MT,Privado
SWSU,MS0394,Fazenda Santa Umbelina,NAVIRAÍ,MS,Privado
SIAI,PR0042,Fazenda Esteirinha,GOIOERÊ,PR,Privado
SJNP,PA0026,Novo Progresso,NOVO PROGRESSO,PA,Privado
SNZP,MT0577,Fazenda Três Lagoas,SAPEZAL,MT,Privado
SNDP,MT0244,Derso Portilho Vieira,SÃO FÉLIX DO ARAGUAIA,MT,Privado
SJXX,MS0193,Recreio,PONTA PORÃ,MS,Privado
SJPW,MT0207,Fazenda Boa Esperança,LUCAS DO RIO VERDE,MT,Privado
SNJL,BA0139,J Lem,LUÍS EDUARDO MAGALHÃES,BA,Privado
SINN,SC0030,Comandante Nelinho,ARARANGUÁ,SC,Privado
SIQO,MS0121,Fazenda Santa Glória,CORUMBÁ,MS,Privado
SWKL,RO0030,Fazenda Primavera do Rio Terebinto,ALTO ALEGRE DOS PARECIS,RO,Privado
SDQJ,BA0075,Fazenda Santo Antônio da Serra do Boqueirão,WANDERLEY,BA,Privado
SD6Y,AM0096,Fazenda Bom Retiro,BOCA DO ACRE,AM,Privado
SDKZ,RR0006,Caraparu 4,UIRAMUTÃ,RR,Privado
SSSF,GO0201,Fazenda Frances,ACREÚNA,GO,Privado
SJLW,RR0063,Mudubim 1,UIRAMUTÃ,RR,Privado
SJQZ,RO0047,Fazenda Peça Rara Agropecuária II,ALTA FLORESTA D'OESTE,RO,Privado
SJXV,MS0192,Fazenda Bela Vista,AMAMBAI,MS,Privado
SIJQ,MT0099,A2 Aviação Agrícola Ltda,ALTA FLORESTA,MT,Privado
SIGF,GO0047,Rumenos Sarkis Simão,PADRE BERNARDO,GO,Privado
SIAT,MT0626,Fazenda Tolosa,BRASNORTE,MT,Privado
SIFT,MT0094,Fazenda Travessão,VILA BELA DA SANTÍSSIMA TRINDADE,MT,Privado
SDUS,RO0010,Fazenda Sucuri,MACHADINHO D'OESTE,RO,Privado
SJDU,RS0074,Nossa Senhora do Loreto,URUGUAIANA,RS,Privado
SWFC,MT0339,Fazenda Cedro,LUCAS DO RIO VERDE,MT,Privado
SDZH,SP0167,Fazenda Santa Helena,PINDAMONHANGABA,SP,Privado
SWYC,MT0435,Fazenda Rancho Alegre I,VILA BELA DA SANTÍSSIMA TRINDADE,MT,Privado
SJEL,PR0056,Fazenda Santa Helena,CORNÉLIO PROCÓPIO,PR,Privado
SIOI,MS0109,Fazenda Onça Parda,NOVO HORIZONTE DO SUL,MS,Privado
SITB,MS0127,Fazenda Touro Branco,NAVIRAÍ,MS,Privado
SJYO,RR0097,Bananal,UIRAMUTÃ,RR,Privado
SSEV,MS0263,Fazenda São Camilo,CORUMBÁ,MS,Privado
SJWQ,SP0221,Aeroclube de Birigui - CMTE Munir Djabak,BIRIGUI,SP,Privado
SWXR,BA0258,Fazenda Flights Ranch,SANTANA,BA,Privado
SIIC,BA0087,Celeiro 1,JABORANDI,BA,Privado
SIYN,PE0016,Recanto dos Mouras,AFOGADOS DA INGAZEIRA,PE,Privado
SDUA,PA0036,Vale do Curuá,NOVO PROGRESSO,PA,Privado
SJBU,BA0103,Fazenda Alto Jaborandi,JABORANDI,BA,Privado
SWEQ,PA0139,Clube de Esportes Aéreos e Náuticos do Pará,BELÉM,PA,Privado
SWGL,RS0170,AAGV - Associação Aerodesportiva de Getulio Vargas,GETÚLIO VARGAS,RS,Privado
SSJR,MT0601,Fazenda São Roque,SORRISO,MT,Privado
SWZA,MT0443,Agrosan,JUARA,MT,Privado
SJGW,TO0078,Fazenda São Geraldo,COUTO MAGALHÃES,TO,Privado
SSRK,BA0015,Campo Alegre de Lourdes,CAMPO ALEGRE DE LOURDES,BA,Privado
SIJO,MS0091,Fazenda São Sebastião do Jatobazinho,CORUMBÁ,MS,Privado
SNVR,BA0147,Aeroclube da Bahia,VERA CRUZ,BA,Privado
SWEV,BA0334,Fazenda Cambara 1,CORRENTINA,BA,Privado
SWBI,BA0327,Santa Colomba Cafés,COCOS,BA,Privado
SWPQ,MT0380,Fazenda Piraguassu,PORTO ALEGRE DO NORTE,MT,Privado
