OACI,CIAD,Nome,Municipio,UF,Tipo
SDBY,SP0032,BARIRI,BARIRI,SP,Publico
SDBA,SP0063,BATATAIS,BATATAIS,SP,Publico
SDCA,SP0051,CAPÃO BONITO,CAPÃO BONITO,SP,Publico
SDCO,SP0027,SOROCABA,SOROCABA,SP,Publico
SDDN,SP0020,PAULINO RIBEIRO DE ANDRADE,ANDRADINA,SP,Publico
SDDR,SP0021,DRACENA,DRACENA,SP,Publico
SDEP,SP0052,GERALDO MOACIR BORDON,PRESIDENTE EPITÁCIO,SP,Publico
SDET,SP0067,TIETÊ,TIETÊ,SP,Publico
SDFD,SP0054,CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES,FERNANDÓPOLIS,SP,Publico
SDFX,BA0054,CASA NOVA,CASA NOVA,BA,Publico
SDGC,SP0055,GARÇA,GARÇA,SP,Publico
SDCG,AM0016,SENADORA EUNICE MICHILES,SÃO PAULO DE OLIVENÇA,AM,Publico
SDIM,SP0033,DR. ANTONIO RIBEIRO NOGUEIRA JÚNIOR,ITANHAÉM,SP,Publico
SDIV,SP0056,ITUVERAVA,ITUVERAVA,SP,Publico
SDJC,SP0064,JABOTICABAL,JABOTICABAL,SP,Publico
SDJO,SP0057,SÃO JOAQUIM DA BARRA,SÃO JOAQUIM DA BARRA,SP,Publico
SDJV,SP0035,SÃO JOÃO DA BOA VISTA,SÃO JOÃO DA BOA VISTA,SP,Publico
SDKJ,BA0025,FORMOSA DO RIO PRETO,FORMOSA DO RIO PRETO,BA,Publico
SDIG,SP0038,IBITINGA,IBITINGA,SP,Publico
SDLL,SP0048,YOLANDA PENTEADO,LEME,SP,Publico
SDLP,SP0034,MUNICIPAL JOSÉ BOSO,LENÇÓIS PAULISTA,SP,Publico
SDLY,SP0071,ARMANDO NATALI,MATÃO,SP,Publico
SBMI,RJ0009,MARICÁ,MARICÁ,RJ,Publico
SDKK,SP0058,MOCOCA,MOCOCA,SP,Publico
SDMJ,SP0022,MOGI MIRIM,MOGI MIRIM,SP,Publico
SDMO,SP0068,MONTE ALTO,MONTE ALTO,SP,Publico
SDNH,SP0060,NOVO HORIZONTE,NOVO HORIZONTE,SP,Publico
SDNM,MT0047,BRIGADEIRO EDUARDO GOMES,NOVA MUTUM,MT,Publico
SDNO,SP0061,NELSON GARÓFALO,SÃO MANUEL,SP,Publico
SDOU,SP0023,JORNALISTA BENEDITO PIMENTEL,OURINHOS,SP,Publico
SDMH,SP0059,MIRASSOL,MIRASSOL,SP,Publico
SDOV,GO0005,MOZARLÂNDIA,MOZARLÂNDIA,GO,Publico
SDPD,SP0072,PINDAMONHANGABA,PINDAMONHANGABA,SP,Publico
SDPN,SP0024,PENÁPOLIS,PENÁPOLIS,SP,Publico
SDPV,SP0040,PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,SP,Publico
SDPW,SP0041,PEDRO MORGANTI,PIRACICABA,SP,Publico
SDPY,SP0066,PIRASSUNUNGA,PIRASSUNUNGA,SP,Publico
SDRK,SP0049,RIO CLARO,RIO CLARO,SP,Publico
SDRR,SP0028,AVARÉ-ARANDU,AVARÉ,SP,Publico
SDRS,RJ0007,RESENDE,RESENDE,RJ,Publico
SDSC,SP0029,MÁRIO PEREIRA LOPES,SÃO CARLOS,SP,Publico
SBSO,MT0005,REGIONAL DE SORRISO ADOLINO BEDIN,SORRISO,MT,Publico
SDOW,PA0021,OURILÂNDIA DO NORTE,OURILÂNDIA DO NORTE,PA,Publico
SDTF,SP0050,TATUÍ,TATUÍ,SP,Publico
SDTI,SP0073,TUPI PAULISTA,TUPI PAULISTA,SP,Publico
SDTK,RJ0011,PARATY,PARATY,RJ,Publico
SDTP,SP0025,JOSÉ VICENTE FARIA LIMA,TUPÃ,SP,Publico
SDUB,SP0065,ESTADUAL GASTÃO MADEIRA,UBATUBA,SP,Publico
SDUN,RJ0008,ITAPERUNA,ITAPERUNA,RJ,Publico
SDTB,SP0069,ATIBAIA,ATIBAIA,SP,Publico
SDVE,SP0070,VERA CRUZ,VERA CRUZ,SP,Publico
SDVG,SP0026,DOMINGOS PIGNATARI,VOTUPORANGA,SP,Publico
SDWQ,PA0027,ALENQUER,ALENQUER,PA,Publico
SDXF,GO0020,ALTO PARAÍSO DE GOIÁS,ALTO PARAÍSO DE GOIÁS,GO,Publico
SDXJ,MS0017,COSTA RICA,COSTA RICA,MS,Publico
SDZG,CE0008,PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ,TAUÁ,CE,Publico
SIBU,PB0012,JERÔNIMO SÉRGIO ROSADO MAIA,CATOLÉ DO ROCHA,PB,Publico
SIBW,PB0008,CONCEIÇÃO,CONCEIÇÃO,PB,Publico
SDUQ,SP0042,PARAGUAÇU PAULISTA,PARAGUAÇU PAULISTA,SP,Publico
SIBZ,PB0010,ITAPORANGA,ITAPORANGA,PB,Publico
SICB,PB0007,PEDRO SIMÕES PIMENTA,CUITÉ,PB,Publico
