"Código OACI","CIAD","Id to Tipo de Uso","Nome","Município","UF","Longitude","Latitude","Altitude","Operação Diurna","Operação Noturna","Designação 1","Comprimento 1","Largura 1","Resistência 1","Superfície 1","Designação 2","Comprimento 2","Largura 2","Resistência 2","Superfície 2","Portaria de Registro","Link Portaria"
"SJGC","BA0109",1,"Fazenda Busato I","SÃO DESIDÉRIO","BA","045°30'00""W","12°54'06""S","366 m","VFR","Sem Operação","","1300 m","30 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0965.pdf","PA2015-0965"
"SDSV","SP0145",1,"Santa Cândida","GUARIBA","SP","048°10'16""W","21°20'01""S","634 m","VFR","Sem Operação","","800 m","20 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9094.pdf","PA2022-9094"
"SINI","MS0107",1,"Fazenda Bela Vista do Caronal","CORUMBÁ","MS","055°58'24""W","18°12'21""S","143 m","VFR","Sem Operação","","900 m","18 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA9156.pdf","PA9156"
"SBOQ","GO0281",1,"Fazenda Irmãs Prata","CHAPADÃO DO CÉU","GO","052°49'59""W","18°37'16""S","856 m","VFR","Sem Operação","","850 m","18 m","5600 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2526.pdf","PA2020-2526"
"","MS0630",1,"AGROPECUÁRIA VARANDA","CARACOL","MS","057°02'38""W","22°02'47""S"," m","VFR","Sem Operação","","1050 m","18 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8221.pdf","PA2022-8221"
"SSXW","MS0352",1,"Fazenda São Paulo","IVINHEMA","MS","053°50'56""W","22°17'44""S","364 m","VFR","Sem Operação","","1100 m","30 m","2500 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1835.pdf","PA2015-1835"
"SNKJ","PA0094",1,"Fazenda Rio Dourado","CUMARU DO NORTE","PA","051°26'49""W","08°20'02""S","278 m","VFR","Sem Operação","","1350 m","20 m","18/F/A/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8885.pdf","PA2022-8885"
"SWZM","MT0447",1,"Fazenda América ","TABAPORÃ","MT","056°31'15""W","11°32'29""S","375 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1281.pdf","PA2015-1281"
"SDRP","RR0014",1,"Onkiola","AMAJARI","RR","064°09'45""W","03°42'43""N","206 m","VFR","Sem Operação","","400 m","16 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2901.pdf","PA2020-2901"
"SJPT","MG0129",1,"Quatro Ventos","UBERLÂNDIA","MG","048°06'00""W","18°58'26""S","924 m","","","","1100 m","25 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8037.pdf","PA2022-8037"
