"Código OACI","CIAD","Id to Tipo de Uso","Nome","Município","UF","Longitude","Latitude","Altitude","Operação Diurna","Operação Noturna","Designação 1","Comprimento 1","Largura 1","Resistência 1","Superfície 1","Designação 2","Comprimento 2","Largura 2","Resistência 2","Superfície 2","Portaria de Registro","Link Portaria"
"SJUQ","SP0846",1,"Fazenda São Clemente","SÃO JOSÉ DOS CAMPOS","SP","045°51'06""W","23°07'10,5""S","557 m","VFR","Sem Operação","","400 m","30 m","3500 Kg /   0,20 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-3513.pdf","PA2018-3513"
"SNEA","RS0082",1,"Estância Primavera","ALEGRETE","RS","055°26'08""W","30°03'29""S","147 m","VFR","Sem Operação","","575 m","20 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-2629.pdf","PA2018-2629"
"","MT0974",1,"FAZENDA PIQUI","TORIXORÉU","MT","052°50'00""W","16°25'00""S","569 m","VFR","Sem Operação","","1100 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.942.pdf","PA2023-12.942"
"SIOK","MG0106",1,"Fazenda Cachoeirinha","PERDIZES","MG","047°07'43,2""W","19°21'31,6""S","923 m","VFR","Sem Operação","","900 m","30 m","3600 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-2898.pdf","PA2015-2898"
"SIMW","MS0103",1,"Fazenda Retiro do Cervo I","JARAGUARI","MS","053°58'15""W","20°20'56""S","485 m","VFR","Sem Operação","","900 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9756.pdf","PA2022-9756"
"","BA0392",1,"Fazenda Pinna","SÃO DESIDÉRIO","BA","046°12'42""W","12°40'03""S","906 m","VFR","Sem Operação","","1400 m","25 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7405.pdf","PA2022-7405"
"SIMR","GO0051",1,"Fazendas Reunidas","RIO VERDE","GO","051°09'22""W","17°45'03""S","831 m","","","","1300 m","18 m","8/F/C/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8271.pdf","PA2022-8271"
"","PA0359",1,"SÃO SEBASTIÃO","PORTO DE MOZ","PA","052°47'53""W","02°08'34""S","80 m","VFR","Sem Operação","","800 m","18 m","3700 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.989.pdf","PA2023-11.989"
"SDZC","RR0027",1,"Uxiu","MUCAJAÍ","RR","062°40'08""W","02°42'29""N","75 m","VFR","Sem Operação","","420 m","16 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2893.pdf","PA2020-2893"
"SSUS","MS0337",1,"Uniggel Sementes - Fazenda Santa Maria","COSTA RICA","MS","052°53'44""W","18°24'47""S","817 m","VFR","Sem Operação","","1000 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-1513.pdf","PA2018-1513"
"SIIT","MS0088",1,"Fazenda Cachoeira","ANASTÁCIO","MS","055°34'20""W","20°45'36""S","363 m","VFR","Sem Operação","","1000 m","18 m","8/F/B/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8136.pdf","PA2022-8136"
"SJHD","TO0029",1,"Josidith","DARCINÓPOLIS","TO","047°49'04""W","06°49'55""S","399 m","VFR","VFR","","1300 m","30 m","5700 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-3103.pdf","PA2018-3103"
"SSFE","PR0075",1,"Estância Hércules","FOZ DO IGUAÇU","PR","054°35'50""W","25°27'42""S","178 m","","","","1000 m","18 m","3000 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8878.pdf","PA2022-8878"
"","MS0653",1,"FAZENDA ARACOARA","SIDROLÂNDIA","MS","054°46'49""W","20°42'38""S","485 m","VFR","Sem Operação",""," m"," m","","","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9940.pdf","PA2022-9940"
"","MT0986",1,"FAZENDA PRODUTIVA","SÃO FÉLIX DO ARAGUAIA","MT","051°11'24,67""W","11°59'30,33""S","232 m","VFR","Sem Operação","","750 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-13.353.pdf","PA2023-13.353"
"","MA0168",1,"Fazenda Cajueiro - Balsas","BALSAS","MA","045°58'20""W","07°14'18""S","345 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10.890.pdf","PA2023-10.890"
"SNGJ","PA0172",1,"Fazenda Padre Cícero","MARABÁ","PA","049°28'30""W","05°36'20""S","149 m","VFR","Sem Operação","","800 m","18 m","3200 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-2324.pdf","PA2019-2324"
"SNXY","PA0113",1,"Cikel Brasil Verde","PORTEL","PA","050°31'43""W","02°42'01""S","30 m","VFR","Sem Operação","","1200 m","20 m","3000 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.961.pdf","PA2023-11.961"
"SDDK","SP0088",1,"Saint-Exupéry","OCAUÇU","SP","049°59'09""W","22°28'53""S","575 m","VFR","Sem Operação","","800 m","20 m","3500 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-1143.pdf","PA2014-1143"
"SIUR","MS0133",1,"Fazenda Ribeirão","CAMAPUÃ","MS","053°29'47""W","19°36'35""S","451 m","VFR","Sem Operação","","550 m","18 m","4500 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-0511.pdf","PA2019-0511"
"SWFU","MT0342",1,"Fortuna","VILA BELA DA SANTÍSSIMA TRINDADE","MT","059°30'02""W","16°10'01""S","264 m","VFR","Sem Operação","","997 m","30 m","5700 Kg /   0,62 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1500.pdf","PA2015-1500"
"SWAY","PI0068",1,"Piripiri","PIRIPIRI","PI","041°46'09""W","04°20'04""S","171 m","VFR","Sem Operação","","1000 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3140.pdf","PA2020-3140"
"SNFZ","MG0145",1,"Fazenda Villa Terezinha","BOCAIÚVA","MG","043°56'23""W","17°24'19""S","780 m","VFR","Sem Operação","","950 m","18 m","5700 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4655.pdf","PA2021-4655"
"","MT0933",1,"FAZENDA TUIUIU","SANTA RITA DO TRIVELATO","MT","055°29'41""W","13°48'20""S"," m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,54 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.848.pdf","PA2023-11.848"
"SJFK","TO0027",1,"Fazenda Cachoeira","ARAGUAÇU","TO","049°31'30""W","12°35'28""S","229 m","VFR","Sem Operação","","1200 m","18 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4404.pdf","PA2021-4404"
"SDZL","MS0063",1,"Fazenda Campo Zélia","CORUMBÁ","MS","055°41'24""W","18°36'27""S","151 m","VFR","Sem Operação","","1250 m","20 m","4800 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-0099.pdf","PA2018-0099"
"SWYY","MT0442",1,"Fazenda Nova Viena","BARRA DO GARÇAS","MT","052°16'41""W","14°53'10""S","297 m","VFR","Sem Operação","","1300 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.362.pdf","PA2023-12.362"
"SSXH","BA0168",1,"Manoel da Silva Rocha","BRUMADO","BA","041°49'03""W","14°15'19""S","510 m","","","","1738 m","30 m","41/F/B/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.824.pdf","PA2023-12.824"
"SSWX","MT0498",1,"Fazenda Rio Xingú","SANTA CRUZ DO XINGU","MT","052°33'29""W","10°08'08""S","337 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-1273.pdf","PA2020-1273"
"SSNA","MS0307",1,"Estância Miranda","MIRANDA","MS","056°26'22""W","19°54'02,9""S","133 m","VFR","Sem Operação","","1100 m","23 m","5000 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-1757.pdf","PA2014-1757"
"","MS0590",1,"FAZENDA SANTO ANTONIO DO CAETÉ","RIO VERDE DE MATO GROSSO","MS","055°15'12""W","18°43'14""S","168 m","","","","950 m","18 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6308.pdf","PA2021-6308"
"SWGF","AM0045",1,"Fazenda Fortaleza","NOVO ARIPUANÃ","AM","061°15'00""W","07°54'28""S","86 m","VFR","Sem Operação","","650 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-2191.pdf","PA2018-2191"
"SIRX","MT0128",1,"Fazenda Santo Reis","LAMBARI D'OESTE","MT","057°47'38""W","15°16'51""S","200 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-2670.pdf","PA2015-2670"
"SSKP","PR0083",1,"CEAL","PALOTINA","PR","053°50'32""W","24°18'32""S","320 m","VFR","Sem Operação","","772 m","19 m","2500 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3402.pdf","PA2020-3402"
"SNZL","SP0242",1,"Usina São Luiz","OURINHOS","SP","049°45'40""W","22°56'51""S","467 m","","","","1200 m","25 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-10142.pdf","PA2022-10142"
"SWBZ","BA0172",1,"Projeto Brasil I","SANTA RITA DE CÁSSIA","BA","044°40'06""W","11°24'29""S","461 m","VFR","Sem Operação","","1300 m","30 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-2615.pdf","PA2014-2615"
"","MS0484",1,"Fazenda Santa Pilar","RIBAS DO RIO PARDO","MS","053°16'37""W","21°29'56""S","425 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3397.pdf","PA2020-3397"
"SNVZ","BA0260",1,"Fazenda Flor da Serra","JABORANDI","BA","046°10'47""W","14°06'03""S","994 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-1860.pdf","PA2019-1860"
"","MT0944",1,"Fazenda Guariba","VILA RICA","MT","051°47'56""W","09°53'36""S","312 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA12.213.pdf","PA12.213"
"SWIJ","BA0180",1,"Fazenda Água Doce","JABORANDI","BA","045°35'36""W","14°03'02,8""S","823 m","VFR","Sem Operação","","1000 m","20 m","5000 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2024-13.704.pdf","PA2024-13.704"
"","MT0789",1,"FAZENDA RIO SUIÁ","QUERÊNCIA","MT","052°07'13""W","12°22'15""S","346 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6770.pdf","PA2021-6770"
"SSMZ","MT0298",1,"Fazenda São Mateus","COMODORO","MT","059°59'00""W","13°55'02""S","326 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-2816.pdf","PA2014-2816"
"SWKR","GO0133",1,"Fazenda Mangue Che II","ITARUMÃ","GO","051°35'07""W","18°40'12""S","534 m","VFR","Sem Operação","","800 m","25 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2013-2395.pdf","PA2013-2395"
"","MT0637",1,"Fazenda São Mateus","NOVA MARINGÁ","MT","057°15'27""W","12°15'18""S","386 m","VFR","Sem Operação","","950 m","18 m","8/F/B/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3526.pdf","PA2020-3526"
"SDOE","MA0015",1,"Fazenda Sibéria","GRAJAÚ","MA","045°46'45""W","05°43'09""S","235 m","VFR","Sem Operação","","600 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4331.pdf","PA2021-4331"
"SIAW","PA0041",1,"Sítio Gurupi","ULIANÓPOLIS","PA","047°30'59""W","03°44'21""S","128 m","","","","750 m","18 m","5700 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-5776.pdf","PA2021-5776"
"SSDI","MA0044",1,"Fazenda Bacatuba","BURITI BRAVO","MA","043°42'20""W","05°39'30""S","178 m","VFR","Sem Operação","","900 m","18 m","2155 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-0865.pdf","PA2014-0865"
"SDQD","MT0054",1,"Fazenda Candelária","VILA BELA DA SANTÍSSIMA TRINDADE","MT","060°00'47""W","16°06'40""S","275 m","VFR","Sem Operação","","900 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-0868.pdf","PA2017-0868"
"SSYN","MS0353",1,"Fazenda Guarani","NOVA ANDRADINA","MS","053°34'06""W","22°09'51""S","301 m","VFR","Sem Operação","","1000 m","23 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-0297.pdf","PA2017-0297"
"","RO0075",1,"Fazenda Amadeus Andrade","MIRANTE DA SERRA","RO","062°49'44""W","11°08'48""S","267 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-5800.pdf","PA2021-5800"
"","MT0723",1,"FAZENDA GUATAMBU","NOVO MUNDO","MT","055°26'48""W","09°44'11""S"," m","VFR","Sem Operação","","900 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4659.pdf","PA2021-4659"
"SDXZ","GO0195",1,"Fazenda Agrorosso","SÃO MIGUEL DO PASSA QUATRO","GO","048°41'00""W","16°55'44""S","1009 m","VFR","Sem Operação","","1000 m","30 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-1597.pdf","PA2019-1597"
"SJLL","RR0053",1,"Maturuca","UIRAMUTÃ","RR","060°06'01""W","04°27'39""N","455 m","VFR","Sem Operação","","650 m","20 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2012-2853.pdf","PA2012-2853"
"SNKB","PB0015",1,"Aeroclube de Campina Grande","CAMPINA GRANDE","PB","035°59'25""W","07°10'42""S","693 m","VFR","Sem Operação","","800 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9570.pdf","PA2022-9570"
"SISL","MT0129",1,"Fazenda Santa Lúcia","BARÃO DE MELGAÇO","MT","055°54'22,5""W","16°53'39,8""S","137 m","VFR","Sem Operação","","800 m","30 m","3000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8836.pdf","PA2022-8836"
"SIBC","SP0171",1,"Fazenda Bonança","PEREIRA BARRETO","SP","051°01'51""W","20°40'35,2""S","365 m","VFR","Sem Operação","","1400 m","23 m","8/F/C/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-3434.pdf","PA2017-3434"
"SSVP","ES0049",1,"Fazenda São Joaquim","CONCEIÇÃO DA BARRA","ES","039°51'59""W","18°15'51""S","55 m","VFR","Sem Operação","","1100 m","23 m","5400 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3153.pdf","PA2020-3153"
"","MT0540",1,"Fazenda Quatro Irmãos","CÁCERES","MT","058°04'50""W","17°12'32""S","255 m","VFR","Sem Operação","","800 m","20 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8911.pdf","PA2022-8911"
"SJQT","MG0131",1,"Haras RPC","NOVA LIMA","MG","043°55'39""W","20°10'09""S","1295 m","","","","648 m","21 m","5400 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7009.pdf","PA2022-7009"
"SSNZ","SP0877",1,"Paradiso Agropecuária","CAMPOS NOVOS PAULISTA","SP","050°05'25,1""W","22°37'03,5""S","557 m","VFR","Sem Operação","","1000 m","20 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-2516.pdf","PA2019-2516"
"","MS0731",1,"Fazenda Tamanduá Bandeira","SANTA RITA DO PARDO","MS","052°52'09""W","21°35'08""S"," m","VFR","Sem Operação","","1036 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2024-13.740.pdf","PA2024-13.740"
"SNKS","BA0064",1,"Santa Rita de Cássia","SANTA RITA DE CÁSSIA","BA","044°30'55""W","10°59'21""S","458 m","VFR","Sem Operação","","800 m","35 m","10/F/B/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4134.pdf","PA2021-4134"
"SNKH","PA0093",1,"Creputiá","JACAREACANGA","PA","057°07'01,9""W","08°07'00,9""S","300 m","VFR","Sem Operação","","1050 m","60 m","2500 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0132.pdf","PA2015-0132"
"SISR","PA0057",1,"Fazenda Reunidas Sococo","SANTA IZABEL DO PARÁ","PA","048°02'29""W","01°13'26""S","49 m","VFR","Sem Operação","","1255 m","23 m","4581 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9960.pdf","PA2022-9960"
"SWNA","AM0050",1,"Novo Aripuanã","NOVO ARIPUANÃ","AM","060°21'52""W","05°07'03""S","36 m","VFR","Sem Operação","","1200 m","27 m","5700 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-1952.pdf","PA2016-1952"
"SIVW","SP0198",1,"Banaer de Jacupiranga","JACUPIRANGA","SP","048°01'26""W","24°42'36""S","27 m","VFR","Sem Operação","","400 m","18 m","3000 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10426.pdf","PA2023-10426"
"SWMZ","MT0369",1,"Agroer Agropecuária","RONDONÓPOLIS","MT","054°42'07""W","16°26'31""S","319 m","VFR","Sem Operação","","850 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9811.pdf","PA2022-9811"
"SWEF","MT0333",1,"Fazenda Europa","COCALINHO","MT","051°09'24""W","14°48'47""S","258 m","VFR","Sem Operação","","800 m","18 m","5600 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0164.pdf","PA2015-0164"
"SIXB","MT0148",1,"Fazenda Cambara","PORTO DOS GAÚCHOS","MT","056°33'41""W","11°37'10""S","385 m","","","","1500 m","30 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7847.pdf","PA2022-7847"
"SSBA","BA0150",1,"Fazenda Arizona","FORMOSA DO RIO PRETO","BA","045°56'50""W","11°11'01""S","783 m","VFR","Sem Operação","","2000 m","30 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-0178.pdf","PA2016-0178"
"SIHY","SP0181",1,"Tom Aviação Agrícola Ltda.","ITÁPOLIS","SP","048°46'54""W","21°37'38""S","518 m","VFR","Sem Operação","","700 m","20 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8740.pdf","PA2022-8740"
"SWKP","PA0144",1,"Pista Aldeia Krãnhãmpare","SÃO FÉLIX DO XINGU","PA","051°50'52""W","08°44'00""S","315 m","VFR","Sem Operação","","799 m","18 m","4000 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-3769.pdf","PA2017-3769"
"","AM0097",1,"Cmte. Dr. Ricardo Stoppe Júnior","LÁBREA","AM","066°07'55""W","08°55'39""S","159 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4549.pdf","PA2021-4549"
"SWLV","MT0364",1,"Santo Antônio do Leverger","SANTO ANTÔNIO DO LEVERGER","MT","056°05'16""W","15°51'04""S","170 m","","","","1700 m","23 m","16/F/B/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-5573.pdf","PA2021-5573"
"","GO0361",1,"FAZENDA SANTO ANDRÉ","SÍTIO D'ABADIA","GO","046°24'34""W","14°38'08""S"," m","VFR","Sem Operação",""," m"," m","","","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.287.pdf","PA2023-11.287"
"","PA0338",1,"Fazenda Sagrada Família","PARAGOMINAS","PA","047°31'47""W","03°06'56""S","147 m","","","","1200 m","23 m","5000 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8263.pdf","PA2022-8263"
"","MA0182",1,"FAZENDA MUNDO NOVO","FERNANDO FALCÃO","MA","045°26'32""W","05°58'57""S"," m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.850.pdf","PA2023-12.850"
"SWBH","MS0532",1,"Fazenda São José do Rancho Grande","AQUIDAUANA","MS","055°32'44""W","20°09'22""S","170 m","VFR","Sem Operação","","800 m","20 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2048.pdf","PA2020-2048"
"SDWZ","SP0161",1,"Palo Verde","ARAÇATUBA","SP","050°33'42""W","21°11'29""S","392 m","VFR","Sem Operação","","800 m","30 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.397.pdf","PA2023-11.397"
"","RR0133",1,"FAZENDA BRASÍLIA","ALTO ALEGRE","RR","061°05'44""W","03°12'44""N","131 m","VFR","Sem Operação","","700 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10.326.pdf","PA2023-10.326"
"SIEJ","MT0090",1,"Monte Verde","NOVA MONTE VERDE","MT","057°29'09""W","09°56'32""S","330 m","VFR","Sem Operação","","1100 m","23 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1161.pdf","PA2015-1161"
"","MT0487",1,"Fazenda Capim Doce","PONTES E LACERDA","MT","059°54'14""W","15°48'40""S"," m","VFR","Sem Operação","","900 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4098.pdf","PA2021-4098"
"","MT0659",1,"Fazenda Santa Maria","PORTO ESPERIDIÃO","MT","058°43'57""W","16°05'19""S","172 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4802.pdf","PA2021-4802"
"SNDZ","MT0245",1,"NX GOLD","NOVA XAVANTINA","MT","052°29'58""W","14°38'34""S","304 m","VFR","Sem Operação","","940 m","18 m","5600 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-1286.pdf","PA2016-1286"
"SJPE","PB0014",1,"Pedra","PEDRA LAVRADA","PB","036°28'54""W","06°46'00""S","543 m","VFR","Sem Operação","","880 m","23 m","5600 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-1196.pdf","PA2014-1196"
"SSHA","MS0282",1,"Aeroclube de Aquidauana","AQUIDAUANA","MS","055°46'10""W","20°28'51""S","189 m","VFR","Sem Operação","","1200 m","40 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.910.pdf","PA2023-11.910"
"SSMF","MT0638",1,"Fazenda Santri","BARÃO DE MELGAÇO","MT","056°36'53""W","17°09'31""S","111 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-6895.pdf","PA2022-6895"
"SSYR","MA0049",1,"José Mendes Ribeiro","SÃO JOÃO DOS PATOS","MA","043°41'04""W","06°30'01""S","362 m","","","","600 m","18 m","2155 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8655.pdf","PA2022-8655"
"SJUC","GO0087",1,"Fazenda Santa Cruz","PADRE BERNARDO","GO","048°12'23""W","15°22'19""S","761 m","VFR","Sem Operação","","830 m","16 m","5700 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-2565.pdf","PA2016-2565"
"SDUF","MS0056",1,"Fazenda Touro Peru","PORTO MURTINHO","MS","057°29'44""W","21°04'17""S","130 m","VFR","Sem Operação","","600 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2013-2688.pdf","PA2013-2688"
"","GO0295",1,"Fazenda Bocalon","CRISTALINA","GO","047°21'43""W","16°50'37""S","910 m","VFR","Sem Operação","","1000 m","25 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7795.pdf","PA2022-7795"
"SNRN","SP0236",1,"Fazenda 20 de Maio","GETULINA","SP","049°58'16""W","21°48'32""S","496 m","","","","1100 m","20 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7312.pdf","PA2022-7312"
"SSLQ","MS0487",1,"Fazenda Taiamã","CORUMBÁ","MS","055°36'20""W","18°05'33""S","155 m","VFR","Sem Operação","","550 m","20 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-1546.pdf","PA2020-1546"
"SITV","MS0131",1,"Fazenda Serra Dourada","COXIM","MS","054°27'34""W","18°32'42""S","326 m","VFR","Sem Operação","","900 m","40 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9237.pdf","PA2022-9237"
